date-time,temp,humid
2020-07-01-22,21.6,79.0
2020-07-01-23,21.7,80.0
2020-07-02-0,20.9,87.0
2020-07-02-1,20.2,92.0
2020-07-02-2,19.6,94.0
2020-07-02-3,19.3,95.0
2020-07-02-4,19.0,96.0
2020-07-02-5,19.0,96.0
2020-07-02-6,19.0,97.0
2020-07-02-7,20.1,94.0
2020-07-02-8,21.0,88.0
2020-07-02-9,22.2,79.0
2020-07-02-10,23.2,80.0
2020-07-02-11,24.1,74.0
2020-07-02-12,25.0,74.0
2020-07-02-13,25.5,70.0
2020-07-02-14,25.2,78.0
2020-07-02-15,26.5,70.0
2020-07-02-16,27.1,64.0
2020-07-02-17,27.5,63.0
2020-07-02-18,26.3,66.0
2020-07-02-19,25.5,68.0
2020-07-02-20,24.6,71.0
2020-07-02-21,23.8,76.0
2020-07-02-22,23.3,76.0
2020-07-02-23,23.3,81.0
2020-07-03-0,22.4,86.0
2020-07-03-1,22.1,84.0
2020-07-03-2,21.7,90.0
2020-07-03-3,21.8,86.0
2020-07-03-4,21.4,81.0
2020-07-03-5,21.3,87.0
2020-07-03-6,21.1,82.0
2020-07-03-7,21.2,81.0
2020-07-03-8,21.0,85.0
2020-07-03-9,20.9,90.0
2020-07-03-10,20.7,88.0
2020-07-03-11,20.8,90.0
2020-07-03-12,20.6,87.0
2020-07-03-13,21.4,77.0
2020-07-03-14,21.1,77.0
2020-07-03-15,20.9,77.0
2020-07-03-16,20.8,79.0
2020-07-03-17,20.7,85.0
2020-07-03-18,20.0,93.0
2020-07-03-19,18.6,99.0
2020-07-03-20,18.5,99.0
2020-07-03-21,18.5,98.0
2020-07-03-22,18.3,98.0
2020-07-03-23,18.4,98.0
2020-07-04-0,18.3,98.0
2020-07-04-1,18.4,98.0
2020-07-04-2,18.4,97.0
2020-07-04-3,18.3,98.0
2020-07-04-4,18.5,98.0
2020-07-04-5,18.5,97.0
2020-07-04-6,18.5,97.0
2020-07-04-7,19.3,96.0
2020-07-04-8,19.8,95.0
2020-07-04-9,20.1,95.0
2020-07-04-10,21.5,88.0
2020-07-04-11,21.1,88.0
2020-07-04-12,21.8,86.0
2020-07-04-13,22.5,80.0
2020-07-04-14,21.8,89.0
2020-07-04-15,22.0,89.0
2020-07-04-16,22.6,85.0
2020-07-04-17,22.0,88.0
2020-07-04-18,20.3,98.0
2020-07-04-19,20.2,98.0
2020-07-04-20,20.3,98.0
2020-07-04-21,19.9,99.0
2020-07-04-22,19.9,98.0
2020-07-04-23,20.0,98.0
2020-07-05-0,20.1,98.0
2020-07-05-1,19.8,98.0
2020-07-05-2,19.8,98.0
2020-07-05-3,19.7,99.0
