date-time,day,active_power,active_energy
2020-07-08-10,1,4158.9,655.391
2020-07-08-11,1,4186.5,659.41
2020-07-09-14,1,4526.3,754.966
2020-07-09-15,1,4526.3,759.206
2020-07-09-16,1,4225.8,763.51
2020-07-09-17,1,3991.9,767.602
2020-07-09-18,1,3784.9,771.431
2020-07-09-19,1,3556.5,775.024
2020-07-09-20,1,3490.6,778.442
2020-07-09-21,1,3452.4,781.815
2020-07-09-22,1,3391.1,785.103
2020-07-09-23,1,3247.0,788.335
2020-07-10-0,1,3238.1,791.487
2020-07-10-1,1,3109.5,794.557
2020-07-10-2,1,3006.0,797.539
2020-07-10-3,1,2995.8,800.435
2020-07-10-4,1,2941.5,803.28
2020-07-10-5,1,2809.7,806.055
2020-07-10-6,1,2831.4,808.736
2020-07-10-7,1,3112.3,811.458
2020-07-10-8,1,3972.4,814.287
2020-07-10-9,1,4133.1,817.591
2020-07-10-10,1,4319.0,821.557
2020-07-10-11,1,4342.6,825.701
2020-07-10-12,1,4407.7,829.928
2020-07-10-13,1,4554.7,834.205
2020-07-11-16,0,3275.8,920.322
2020-07-11-17,0,3274.5,923.451
2020-07-11-18,0,3249.3,926.59
2020-07-11-19,0,3237.8,929.708
2020-07-11-20,0,3348.0,932.866
2020-07-11-21,0,3271.3,936.038
2020-07-11-22,0,3198.3,939.161
2020-07-11-23,0,3139.8,942.234
2020-07-12-0,0,3116.9,945.248
2020-07-12-1,0,3036.2,948.15
2020-07-12-2,0,2912.2,951.003
2020-07-12-3,0,2908.7,953.768
2020-07-12-4,0,2795.9,956.513
2020-07-12-5,0,2735.5,959.193
2020-07-12-6,0,2743.8,961.824
2020-07-12-7,0,2792.4,964.446
2020-07-12-8,0,2935.4,967.099
2020-07-12-9,0,2915.1,969.815
2020-07-12-10,0,2942.6,972.578
2020-07-12-11,0,2989.2,975.384
2020-07-12-12,0,2946.1,978.202
2020-07-12-13,0,3079.4,981.03
2020-07-12-14,0,3124.6,983.951
